分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 123, IPv6: 0, 最小延迟: 27 ms, 最高速率: 7.88 M/s, 平均速率: 2.11 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 156, IPv6: 0, 最小延迟: 27 ms, 最高速率: 8.73 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 136, IPv6: 0, 最小延迟: 27 ms, 最高速率: 3.50 M/s, 平均速率: 0.67 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 135, IPv6: 0, 最小延迟: 26 ms, 最高速率: 3.45 M/s, 平均速率: 1.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 76, IPv6: 0, 最小延迟: 30 ms, 最高速率: 5.30 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 80, IPv6: 0, 最小延迟: 8 ms, 最高速率: 101.99 M/s, 平均速率: 28.17 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 88, IPv6: 0, 最小延迟: 7 ms, 最高速率: 114.95 M/s, 平均速率: 25.26 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 137, IPv6: 0, 最小延迟: 30 ms, 最高速率: 7.59 M/s, 平均速率: 2.09 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 1, IPv4: 78, IPv6: 0, 最小延迟: 30 ms, 最高速率: 5.46 M/s, 平均速率: 0.95 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 82, IPv6: 0, 最小延迟: 7 ms, 最高速率: 100.56 M/s, 平均速率: 22.54 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 155, IPv6: 0, 最小延迟: 29 ms, 最高速率: 5.86 M/s, 平均速率: 1.86 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 146, IPv6: 0, 最小延迟: 93 ms, 最高速率: 1.65 M/s, 平均速率: 0.96 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 63, IPv6: 0, 最小延迟: 6 ms, 最高速率: 108.48 M/s, 平均速率: 23.88 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 137, IPv6: 0, 最小延迟: 29 ms, 最高速率: 4.34 M/s, 平均速率: 1.37 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 2, IPv4: 78, IPv6: 0, 最小延迟: 29 ms, 最高速率: 3.15 M/s, 平均速率: 0.74 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 84, IPv6: 0, 最小延迟: 29 ms, 最高速率: 4.87 M/s, 平均速率: 0.68 M/s, 最高分辨率: 1920x1080
